GameFileName,GameName,GameDisplay,GameRating,MediaSearch,Manufact,GameYear,NumPlayers,GameType,GKeepDisplays,Category,GameTheme,CUSTOM5,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,ROM,Tags
Playboy -Nude Mod- (Bally 1978) HiRez00 4.0.0 MOD,Playboy -Nude Mod- (Bally 1978),Playboy -Nude Mod- (Bally 1978),9098,,Bally,1978,4,SS,"0,1,5",AO,Leisure and Travel,,http://www.ipdb.org/machine.cgi?id=1823,1823,,Jim Patla,"HiRez00, Goldchicco",4.0.0,playboyb,Music
Playboy -Nude 80s Mod- (Bally 1978) HiRez00 4.0.0 MOD,Playboy -Nude 80s Mod- (Bally 1978),Playboy -Nude 80s Mod- (Bally 1978),9098,,Bally,1978,4,SS,"0,1,5",AO,Leisure and Travel,,http://www.ipdb.org/machine.cgi?id=1823,1823,,Jim Patla,"HiRez00, GoldChicco",4.0.0,playboyb,Music
Playboy 2002 (Stern 2002) HiRez00 1.1,Playboy 2002 (Stern 2002),Playboy 2002 (Stern 2002),7920,,Stern,2002,4,SS dmd,"0,5",M,Leisure and Travel,,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?gid=4506,4506,,Jim Patla,"HiRez00, Rascal, GothGloom, Mary, Bigus1, Siggi, Tab, Destruk, Dark, Zany, nFozzy, Thalamus, Arngrim",1.1,playboys,
Playboy 2002 -Nude PuP Version- (Stern 2002) HiRez 1.1,Playboy 2002 -Nude PuP Version- (Stern 2002),Playboy 2002 -Nude PuP Version- (Stern 2002),7920,,Stern,2002,4,SS dmd,-1,AO,Leisure and Travel,,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?gid=4506,4506,,Jim Patla,"HiRez00, Rascal, GothGloom, Mary, Bigus1, Siggi, Tab, Destruk, Dark, Zany, nFozzy, Thalamus, Arngrim",1.1,playboys,
Playboy 35th Anniversary (Data East 1989) JPSalas 6.0.0,Playboy 35th Anniversary (Data East 1989),Playboy 35th Anniversary (Data East 1989),7756,,Data East,1989,4,SS alpha,"0,5",M,Leisure and Travel,,http://www.ipdb.org/machine.cgi?id=1822,1822,,"Joe Kaminkow, Ed Cebula",JPSalas,6.0.0,play_a24,
Pokemon Pinball (Original 2016) JPSalas 6.0.1,Pokemon Pinball (Original 2016),Pokemon Pinball (Original 2016),6138,,Original,2016,4,SS dmd,"0,5",E,Cartoons,,http://www.ipdb.org/machine.cgi?id=6265,6265,,JPSalas,JPSalas,5.5.0,,FlexDMD
Pokerino (Williams 1978) JPSalas 6.0.0,Pokerino (Williams 1978),Pokerino (Williams 1978),7142,,Williams,1978,4,SS,"0,5",E,Card and Casino,,http://www.ipdb.org/machine.cgi?id=1839,1839,,Steve Kordek,"JPSalas, Halen",6.0.0,,
Polar Explorer (Taito do Brasil 1983) JPSalas 5.5.0,Polar Explorer (Taito do Brasil 1983),Polar Explorer (Taito do Brasil 1983),7490,,Taito do Brasil,1983,4,SS,"0,1,5",E,Sports,Winter,https://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=4588,4588,,?,"JPSalas, Carlos Guizzo, 32assassin, Bord, Pmax65",5.5.0,polar,langP
Pole Position (Sonic 1987) Nestorgian 2.1.3a,Pole Position (Sonic 1987),Pole Position (Sonic 1987),7402,,Sonic,1987,4,SS,"0,1,5",E,Motorsports,,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=3322,3322,,?,"NestorGian, Pedator, Akiles, Goldchicco, 32assassin, JPSalas",2.1.3a,poleposn,
Police Force (Williams 1989) VPW 1.1.0VR,Police Force (Williams 1989),Police Force (Williams 1989),9056,,Williams,1989,4,SS alpha,"0,5",E,Cops and Robbers,,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?id=1841,1841,,"Mark Ritchie, Barry Oursler",VPinWorkshop,1.1.0,polic_l4,
